sample_id,Cobertura,x,y,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,MSAVI,NDWI,BSI,MBSI,NDSI,MSWI,NDBI,Codigo,geometry_wkt,latitude,longitude
training_000020,Nubes,-74.725,7.858349111,0.3896999955177307,0.3375999927520752,0.3564000129699707,0.3684000074863434,0.41940000653266907,0.4916999936103821,0.5266000032424927,0.4982999861240387,0.5493000149726868,0.6148999929428101,0.4887999892234802,0.39640000462532043,0.1498788297176361,0.13992774486541748,-0.1660231351852417,0.01258048415184021,0.14045728743076324,0.15664929151535034,0.03661087527871132,-0.009624148719012737,1,POINT (4812127.498255 2429140.725389),2429140.7253890326,4812127.498255058
training_000021,Vegetacion,-74.859,8.08062364,0.04565000161528587,0.04740000143647194,0.08275000005960464,0.05714999884366989,0.13725000619888306,0.27854999899864197,0.3160000145435333,0.3255999982357025,0.3400000035762787,0.3332499861717224,0.23405000567436218,0.12764999270439148,0.7013716697692871,0.44518527388572693,-0.5947104096412659,-0.12315566837787628,0.6074862480163574,0.47758838534355164,0.381493479013443,-0.163584366440773,4,POINT (4795262.528705 2451369.964393),2451369.9643929685,4795262.528704549
training_000022,Suelo Desnudo,-74.672,7.891985367,0.04309999942779541,0.04820000007748604,0.07349999994039536,0.06840000301599503,0.11999999731779099,0.23160000145435333,0.2676999866962433,0.2937000095844269,0.29919999837875366,0.32190001010894775,0.2395000010728836,0.12809999287128448,0.6222038269042969,0.37019121646881104,-0.5996732115745544,-0.05232379958033562,0.55569988489151,0.530351459980011,0.3038167357444763,-0.1016504243016243,6,POINT (4815735.433575 2430426.409277),2430426.4092774624,4815735.433575146
training_000023,Vegetacion,-74.796,8.121256787,0.08799999952316284,0.08349999785423279,0.11110000312328339,0.13050000369548798,0.16404999792575836,0.27320000529289246,0.31610000133514404,0.2828499972820282,0.3439500033855438,0.30399999022483826,0.26864999532699585,0.18584999442100525,0.3685738444328308,0.22773367166519165,-0.4359690248966217,0.04284781590104103,0.346110463142395,0.4148781895637512,0.17496441304683685,-0.025747964158654213,4,POINT (4802142.535995 2455831.611707),2455831.611707074,4802142.53599492
training_000024,Mineria,-74.808,7.837459642,0.18979999423027039,0.1995999962091446,0.290800005197525,0.37880000472068787,0.4106999933719635,0.4180000126361847,0.42179998755455017,0.41990000009536743,0.4228000044822693,0.4269999861717224,0.4790000021457672,0.41350001096725464,0.05145861580967903,0.045819900929927826,-0.18165189027786255,0.16130779683589935,0.11681044101715088,0.24447907507419586,0.04379655048251152,0.06574702262878418,9,POINT (4800743.203389 2424460.474886),2424460.4748864006,4800743.203388979
training_000025,Cuerpos de Agua,-74.93,7.887781905,0.04774999991059303,0.07639999687671661,0.1420000046491623,0.1988999992609024,0.21819999814033508,0.1928499937057495,0.19394999742507935,0.15309999883174896,0.1632000058889389,0.23989999294281006,0.12985000014305115,0.0815500020980835,-0.1301136314868927,-0.06671915203332901,-0.03761434927582741,0.17778773605823517,-0.21003802120685577,-0.044693779200315475,-0.41843464970588684,-0.08216998726129532,7,POINT (4787323.400979 2430084.299153),2430084.299153267,4787323.400978626
training_000026,Bosque Natural,-74.689,8.06698625,0.027249999344348907,0.025699999183416367,0.04729999974370003,0.024049999192357063,0.09319999814033508,0.2973000109195709,0.3666499853134155,0.3558500111103058,0.39544999599456787,0.38029998540878296,0.16019999980926514,0.06599999964237213,0.8733877539634705,0.5934014916419983,-0.7653478980064392,-0.3487097918987274,0.7389416694641113,0.5440964102745056,0.4658523201942444,-0.37912994623184204,2,POINT (4813951.144195 2449780.910255),2449780.910254527,4813951.144194693
training_000027,Nubes,-74.743,8.015763781,0.7407000064849854,0.7279999852180481,0.7336000204086304,0.758400022983551,0.8307999968528748,0.8482999801635742,0.8565999865531921,0.8367999792098999,0.8619999885559082,1.0377999544143677,0.8271999955177307,0.7035999894142151,0.04914741590619087,0.05999369919300079,-0.0657157152891159,0.0066023534163832664,0.04339049756526947,0.059969231486320496,-0.03748292103409767,-0.0057692211121320724,1,POINT (4807175.063316 2448715.239461),2448715.23946132,4807175.063315857
training_000028,Mineria,-74.767,7.799408628,0.08780000358819962,0.19539999961853027,0.2766000032424927,0.39399999380111694,0.41909998655319214,0.4147999882698059,0.43639999628067017,0.43650001287460327,0.40700000524520874,0.36809998750686646,0.5327000021934509,0.4034000039100647,0.051174014806747437,0.046538084745407104,-0.22423222661018372,0.1891440898180008,0.14967088401317596,0.31644630432128906,0.01178832445293665,0.09925710409879684,9,POINT (4805265.063149 2420234.341316),2420234.3413159726,4805265.063149099
training_000029,Cuerpos de Agua,-74.78,7.811118713,0.0706000030040741,0.08389999717473984,0.14740000665187836,0.1860000044107437,0.18870000541210175,0.13179999589920044,0.13539999723434448,0.11469999700784683,0.0989999994635582,0.062300000339746475,0.019099999219179153,0.01269999984651804,-0.23711343109607697,-0.10672643780708313,0.12476157397031784,0.016101088374853134,-0.813749372959137,-0.7705705761909485,-0.8721690773963928,-0.7144992351531982,7,POINT (4803815.376587 2421535.098593),2421535.09859277,4803815.376587171
